id	label	confidence	source	reason
creatures:039	DEAD	3	review §2c + assets/species/flitter.ron	Condition unmet in substance, not merely unverified: the clause reopens the unwired lateral sensors "once a flier exists", and flitter is a flier whose own file records "the whole pheromone economy is [stripped]" (flitter.ron:1173, and :22 "`nest: ""` and the whole pheromone/homing half"), so the artifact arrived without the property the clause depends on; the PR body, a PR comment and check-creatures-039.md all withdraw it.
field:003	COSTED	3	review §2c + src/sim/fxhash.rs:114	Named condition is storage-form and is unmet: the clause retries only if field tile storage stops being a HashMap, and `pub type ChunkMap<V> = FxHashMap<ChunkCoord, V>` is still one -- the ChunkGrid dense rewrite went to `Chunk`, the cell grid, not to field tiles; the screener's reason was about a different sentence of the entry (a serial-fallback fix).
structural:013	DEAD	3	review §3 + src/sim/load.rs capacity_within, assets/materials/log.ron:182	Moot rather than unwired: the two unauthored solids (`log`, `nest`) author no `max_unsupported_span` either, so it defaults to the u16::MAX sentinel, `capacity_within` returns i64::MAX for it ("does not participate in the structural system at all"), and the bearing clamp is gated on `capacity != i64::MAX` -- neither is ever evaluated in bending, so directional costs on them cannot regress anything.
plants:044	COSTED	3	review §2c + src/sim/plant.rs:9070, :9404, :4407	Clause holds while income is per-column sky visibility, and it still is: leaf income remains the sum of `ambient_light_above(x,y)` weighted by water status, with `apply_sky`'s column cast unchanged; soil nutrient prices *construction*, not income, so the re-pricing the candidate assumed has not happened.
powders:013	COSTED	3	src/sim/surface.rs CellSurface::get + CLAUDE.md Method	Condition is "re-measure if cell access at that site becomes free"; the 2026-09-06 ChunkGrid rebuild made `CellSurface::get` cheaper but not free (still a bounds-checked chunk lookup, not a Vec index), and the entry's conclusion has since been promoted to a standing convention in CLAUDE.md ("Guard hot-path work at the call site that already has the data"), so it is a priced trade with a named condition, not a revival candidate.
destruction:050	EXPIRED	3	src/sim/structural.rs:4808 + commit fcc98739	Demotion overturned, and the entry is staler than anyone noticed: it says "Constants are back at 3 and 2", but `CRACK_DETACH_DEPTH` is **1** today -- half the rejected narrowing shipped in fcc98739 ("A hammer tap stops unbracing a hillside") for an unrelated reason, its own doc comment still argues against the value it now sets, and the column-moment defect the measurement was taken under is fixed (0b5b175) with the §1b re-run on worldcrack/flat still unrecorded.
plants:017	DEAD	3	src/sim/plant.rs:7448 (break_buds doc)	Superseded: the clause asks for "a real bound on absolute size, which the engine currently has nowhere", and that bound shipped as `supportable = floor(intercepted / step_cost)` -- income divided by what one tip costs, whose doc restates and answers both of this entry's falsified claims (local signals saturate together; a per-organism rate cap only converts exponential filling to linear). The rejected §2e design is replaced, not reopened.
plants:098	DEAD	3	src/sim/organism.rs:131 DormantBud + src/sim/plant.rs:9157 break_buds	Superseded exactly as its own clause says: the bud bank shipped (DormantBud deposited by extension only, whole-plant `break_buds` gating on supportable). The light-attenuation caveat is met -- LIGHT_DECAY no longer carries sunlight at all, `apply_sky`'s column cast does (field.rs:110-152) -- but the mechanism this entry rejects, local/volume-gated reactivation, is unconditionally "do not retry" and its replacement is live.
destruction:034	EXPIRED	3	review §4 sample A + assets/materials/wood.ron:123, log.ron:149, deadleaf.ron:168	Condition met and no re-test recorded: the clause holds "until materials ship finite `ignition_temperature` values" and three now do (wood 400.0, log 400.0, deadleaf 320.0), while `explosion.rs` still asserts in the present tense that a finite ignition temperature is something "nothing shipped has". Re-test owed: run `oil_beside_a_blast_ignites_but_stone_does_not` and read `fire::try_ignite`'s temperature path against the three.
field:027	LANDED	3	review §4 sample A + src/sim/field.rs:1263-1290	The entry records its own revival: the "second mechanism" its clause demanded shipped -- `next` holds only the solved subset and is merged into the live map, with `apply_sky_to` walking every column but reading attenuation through the old map and writing only inside the subset, so the clone per sleeping tile is gone.
destruction:004	LANDED	3	review §4 sample A + assets/materials/log.ron:102-142, src/sim/rigid.rs:3986	The rejected wide-spread log palette was replaced by copying wood.ron's 32-colour palette entry for entry, and `rigid.rs` now carries the cell's own shade into the landed piece instead of re-rolling it -- so the per-cell random draw that made a wide spread read as speckle no longer happens.
field:008	RE-TESTED	3	review §4 sample A + src/sim/field.rs:152	The condition was met and the answer moved the other way: `LIGHT_DECAY` is 0.95, not the 0.997 this entry records as the answer, and its doc says the channel no longer carries sunlight at all (`apply_sky`'s column cast does), so both the rejected value's reason and the prescribed replacement describe a world that is gone.
structural:062	DEAD	3	review §4 sample B, adjudicated by reading	Rule A: delete the suspect number and the entry still rejects on two counts -- undercut went to zero failures, and at the cut the mean equals the minimum -- so the label belongs to the reasoning that survives, not to the confound beside it.
liquids:046	DEAD	3	review §4 sample B, adjudicated by reading	Rule A: the rejection is arithmetic and survives the confound -- whole-difference transfer overshoots whatever the sweep direction does, and half-difference is strictly better.
creatures:022	META	3	review §4 sample B, adjudicated by reading	Question 1 beats CONFOUNDED: the entry records that a confounded sweep was "invalidated and restarted", which is a process already handled, not an engine mechanism awaiting revival. Removed from the CONFOUNDED showcase in the report and the PR body for the same reason.
plants:161	DEAD	3	review §4 sample B, adjudicated by reading	Structural: the entry states a mutual exclusion in bold, which is a contradiction between requirements rather than a cost or a confound.
structural:007	LANDED	3	review §4 sample B, adjudicated by reading	The entry annotates its own revival in the body -- "since overturned: it is half the fix", shipped as `LandingAux::Seed` -- and the original screen read the clause without the body.
