id	key	section	line	family	grade	effective	written	stated_date	pre_cluster	condition_met	numbers	chars	target	live_flags	dead_flags	scenes	noisy_instruments	cross	address	retest
liquids:001	4d5684534d	liquids	62	PERMANENT	DATED-MEASUREMENT	2026-09-07	2026-09-07	2026-09-07			2	1722	examples/filmstrip			canopyrain		destruction,plants	`examples/filmstrip` `scene=canopyrain`'s water-on-tissue census, read *during* rain; measured 2026-09-07	never on the census itself, which is correct and is kept. The trap generalises to any standing-quantity census taken while the process that replenishes the quantity is running -- a litter count during a shedding event, a debris count mid-collapse.
liquids:002	f340af9cde	liquids	65	PERMANENT	DATED-MEASUREMENT	2026-09-07	2026-09-07	2026-09-07			4	1294	src/sim/update.rs					plants,powders	`src/sim/update.rs` `water_drips_through_a_canopy_but_oil_and_a_roofed_canopy_do_not`, counting liquid *cells*; measured 2026-09-07	never -- but any future liquid guard needs both, the volume metric and a scene that actually confines the liquid.
liquids:003	0c1d82c61a	liquids	67	NEEDS-WORK	NUMBERS	2026-08-22	2026-08-22		Y		2	1249	PLAN.md						PLAN.md 'Automatic promotion (§3e): attempted, reverted — a real architectural gap found, not a tuning problem'	Needs real design work first: candidates sketched but not decided — an external-bed pressure term, a suspicious-uniformity promotion refusal (itself a relocated per-cell heuristic of the kind already proven insufficient), or letting try_extend claim open floor when it lowers potential energy. Any fix needs an acceptance scene run through promotion itself, not just the solver in isolation.
liquids:004	75f30607b8	liquids	69	TRIGGERED	CLAIMS-MEASURED	2026-08-22	2026-08-22		Y		1	672	PLAN.md						PLAN.md 'Liquid (Report B) — what changes in the plan' item 5 (LBM)	Any LBM prototype must demonstrate real sleep/coarsening, be measured at actual streaming scale (the 10x resident-chunk figure is assumed, not measured), and report mass conservation across a coarse/fine boundary; read Thürey & Rüde 2009 in full first.
liquids:005	2b70cd7d9f	liquids	71	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		2	670	PLAN-log.md					powders	PLAN-log.md 'Live playtest finding: water settles into sand-like piles' — 'The verdict: don't adopt SPH/PBF/PIC-FLIP'	A GPU compute path plus a drastically different budget; otherwise fix the CA rule, not the paradigm.
liquids:006	3aa7ffcb0a	liquids	73	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		4	805	PLAN-log.md						PLAN-log.md 'Overnight run, section 4' (MIN_LIQUID_TRANSFER tuning); 'Liquid (Report B)' item 2; 'Step 6 (§11) — drop MIN_LIQUID_TRANSFER toward 8'	Re-test lower values only after a further leveling-speed improvement (e.g. automatic body promotion working); do not lower it ahead of the mechanism or the 12,000-frame tail returns.
liquids:007	eac1a11249	liquids	75	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		4	706	PLAN-log.md					field,powders	PLAN-log.md 'Overnight run, section 4' (third finding) and 'Live playtest finding: water settles into sand-like piles, not flat' (quick mitigation)	flow_rate is not the limiting term once fill differences are small; the shape problem lives in mechanism ordering / body-level leveling, not this knob.
liquids:008	3f3c1481fe	liquids	77	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		5	364	PLAN-log.md						PLAN-log.md 'Overnight run, section 4', first 'real bugs found' bullet	
liquids:009	b720a1128d	liquids	78	UNCLASSIFIED	ARGUED-ONLY	2026-08-22	2026-08-22		Y		0	423	PLAN-log.md					field,plants	PLAN-log.md 'Overnight run, section 4: water/liquid leveling — compressible-volume rewrite'	
liquids:010	ae6a19d38b	liquids	79	UNCLASSIFIED	ARGUED-ONLY	2026-08-22	2026-08-22		Y		0	424	PLAN.md						PLAN.md 'Reports/liquid-heightfield-design.md — landed; Step 1 implemented' ('A real cost regression found and fixed')	
liquids:011	f82d9bc08d	liquids	80	HOLDS-WHILE	ARGUED-ONLY	2026-08-22	2026-08-22		Y		0	531	PLAN.md						PLAN.md same section, 'Cell::flowing() gating' sentence in the kept-for-the-record paragraph	Holds while FLAG_FLOWING is set only on successful moves; a different flowing definition would need re-evaluation.
liquids:012	cad4fe0e3d	liquids	82	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		4	628	PLAN.md		SNAP_EPSILON,SOLVER_DAMP,SOLVER_GAIN				PLAN.md 'Step 4 (§11) — quiescence, the terminal snap, and body sleep' (SNAP_EPSILON paragraph)	Tied to SOLVER_GAIN=0.4 / SOLVER_DAMP=0.9 and integer flux rounding; re-derive the epsilon if those constants or the rounding change.
liquids:013	1abf97281a	liquids	84	UNCLASSIFIED	ARGUED-ONLY	2026-08-22	2026-08-22		Y		0	679	PLAN.md					field	PLAN.md 'Step 5 (§11) — try_extend, edge demotion, and post-demotion cooldowns' (try_extend paragraph and thrash bullet)	
liquids:014	edb18f29de	liquids	85	UNCLASSIFIED	NUMBERS	2026-08-22	2026-08-22		Y		3	1334	PLAN.md						PLAN.md 'Superseded — the original rejection below was itself a false negative...' and 'Reverted again, for a real reason this time' paragraphs (liquid Report B section)	Do not attempt a third per-cell ordering tweak without a genuinely new way to distinguish a connected body's free surface; the heightfield/virtual-pipes redesign is the intended fix. Any replacement must beat eeefceb's own frame-900 flatness numbers (reconstructable via git show eeefceb:src/sim/update.rs) while never regressing a_landing_column_does_not_balloon_in_cell_count.
liquids:015	4a3caa9af2	liquids	87	HOLDS-WHILE	NUMBERS	2026-08-22	2026-08-22		Y		2	507	README.md					field	README.md '## Liquid physics' — horizontal transfer paragraph	Holds for nearest-neighbour-only transfer; the reach mechanism is the replacement, not a bigger rate.
liquids:016	b0cd906629	liquids	89	UNCLASSIFIED	ARGUED-ONLY	2026-08-22	2026-08-22		Y		0	586	README.md					structural	README.md '## Liquid physics: compressible volume, not discrete occupied cells' opening paragraph	Structural impossibility, not tuning; permanent for occupancy-based liquid movement.
liquids:017	27f2b158b4	liquids	91	HOLDS-WHILE	ARGUED-ONLY	2026-08-22	2026-08-22		Y		1	635	Reports/liquid-heightfield-design.md						Reports/liquid-heightfield-design.md §1a (fact 1, wake_all control)	Holds for that stall symptom; chunk decomposition remains the recorded first suspect for other seam-aligned artifacts (CLAUDE.md).
